application,place,lat,lon
191712,NEW YORK,40.7127837,-74.0059413
83887,HOUSTON,29.7604267,-95.3698028
62787,SAN FRANCISCO,37.7749295,-122.4194155
52193,ATLANTA,33.7489954,-84.3879824
51496,CHICAGO,41.8781136,-87.6297982
50082,SAN JOSE,37.3382082,-121.8863286
35136,SUNNYVALE,37.36883,-122.0363496
31624,DALLAS,32.7766642,-96.7969879
31471,BOSTON,42.3600825,-71.0588801
30666,REDMOND,47.6739881,-122.121512
30268,CHARLOTTE,35.2270869,-80.8431267
29479,MOUNTAIN VIEW,37.3860517,-122.0838511
29392,IRVING,32.8140177,-96.9488945
28881,SAN DIEGO,32.715738,-117.1610838
28167,SANTA CLARA,37.3541079,-121.9552356
27022,JERSEY CITY,40.7281575,-74.0776417
26865,AUSTIN,30.267153,-97.7430608
26859,SEATTLE,47.6062095,-122.3320708
26516,LOS ANGELES, 34.0522342,-118.2436849
24161,PHILADELPHIA,39.9525839,-75.1652215
21521,PHOENIX,33.4483771,-112.0740373
21306,BELLEVUE,47.6101497,-122.2015159
20741,PLANO,33.0198431,-96.6988856
20369,WASHINGTON,38.9071923,-77.0368707
18287,ALPHARETTA,34.0753762,-84.2940899
17052,IRVINE,33.6839473,-117.7946942
16686,PALO ALTO,37.4418834,-122.1430195
16607,MIAMI,25.7616798,-80.1917902
16574,COLUMBUS,39.9611755,-82.9987942
15560,TAMPA,27.950575,-82.4571776
15394,PITTSBURGH,40.4406248,-79.9958864
15245,EDISON,40.5187154,-74.4120953
14361,RICHARDSON,32.9483335,-96.7298519
14359,FREMONT,37.5482697,-121.9885719
13837,CUPERTINO,37.3229978,-122.0321823
13751,MINNEAPOLIS,44.977753,-93.2650108
13337,RICHMOND,37.5407246,-77.4360481
13198,PRINCETON,40.3572976,-74.6672226
12267,BALTIMORE,39.2903848,-76.6121893
12012,PISCATAWAY,40.554887,-74.4642861
11599,BROOKLYN,40.6781784,-73.9441579
11542,CAMBRIDGE,42.3736158,-71.1097335
11096,MILPITAS,37.4323341,-121.8995741
11038,SAN ANTONIO,29.4241219,-98.4936282
11014,JACKSONVILLE,30.3321838,-81.655651
10746,WILMINGTON,39.7390721,-75.5397878
10322,INDIANAPOLIS,39.768403,-86.158068
10039,HARTFORD,41.7637111,-72.6850932
9786,HERNDON,38.9695545,-77.3860976
9661,BLOOMINGTON,40.4842027,-88.9936873
